477,632,1832,2790,4614,1698,684,827,4172,416,4648,2439,2721,1477,1152,1685,256,4419,1235,2296,1910,3002,1819,1386,3669,1729,3162,381,1165,2036,2313,3037
1061,325,1949,2664,4471,1945,723,884,4549,533,4488,2456,2695,1560,1486,1776,256,4622,1291,2396,1954,2907,2023,1291,2924,1638,3071,243,1113,1941,2257,2838
728,563,1001,2816,3903,2716,879,767,4293,598,4536,2396,2556,1664,1508,1070,290,4869,1451,2365,1975,3149,1516,1170,2582,1919,3119,308,1170,2357,2530,2902
944,546,1910,1551,4852,1300,654,901,3622,507,4436,2092,2885,1651,2032,1512,299,4401,1438,2452,1612,2946,1529,1534,3682,1789,3180,347,1330,1923,2413,2967
801,537,1685,3175,2175,1365,663,810,4012,645,4813,2417,2747,1399,2058,1135,234,4427,1213,2231,1560,2946,1551,1716,4228,1871,3071,316,1217,2270,2209,2846
957,619,1763,3141,4098,715,702,845,3470,732,4908,2248,2851,1408,1061,1854,325,4709,1443,2183,1793,2959,1555,793,4241,1858,3249,360,1438,2175,2313,2868
988,663,2010,2989,4848,1573,277,762,4042,446,4661,2526,2738,1516,1837,1144,225,4440,1386,2426,1941,3093,1659,1165,3396,1586,3167,373,1170,2001,2196,3054
1196,559,2157,3002,3782,1672,671,442,4609,412,5125,2435,2790,1373,1482,1282,312,4527,1174,2296,2097,2773,1265,1793,3596,1490,3184,225,1200,2118,2157,2868
658,580,1941,2928,4813,1897,641,988,2426,286,4739,2482,2695,1586,1503,957,312,4250,1508,2391,1936,2976,1802,1746,2296,1819,3019,186,1148,2348,2426,2833
1278,645,1759,2954,4293,1750,563,949,3656,234,4687,2448,2777,1503,1369,996,282,4388,1603,2612,1884,3054,1681,1603,3019,1932,3249,303,1131,2474,2352,2954
832,589,1997,3188,3622,1754,593,923,4986,537,2651,2365,2721,1352,849,1508,299,4622,1412,2053,1763,2933,1417,1754,2911,1863,3414,264,1430,2257,2287,2877
732,555,1741,2959,3908,1802,715,1053,4466,615,4488,1187,2816,1703,1863,1226,338,4791,1451,2127,1759,3028,1633,1573,2868,1824,3353,312,1118,2404,2253,2768
1378,667,1772,2972,3973,1997,702,1096,4622,589,4774,2352,1295,1347,1464,1061,329,4167,1469,2352,2192,2656,1789,819,3695,2014,3037,251,1356,1923,2244,2946
537,589,1949,2881,4154,1560,589,927,5402,568,4822,2461,2742,875,2188,1009,299,4284,1482,2123,1716,2777,1741,1035,3132,2105,3197,217,1191,2352,2287,2703
845,641,1932,2889,3600,1651,516,979,5194,412,4982,2491,2937,1599,195,1616,334,4822,1057,2222,1962,3115,1486,1495,3509,1625,3123,173,1230,1949,2248,2794
1261,684,1815,2855,4856,1685,555,849,4193,403,4774,2513,2699,1495,1226,680,260,4497,1343,2439,1871,3379,1767,1009,2920,1759,3275,277,1213,2110,2413,2954
1161,537,1772,3041,4211,2032,611,862,5021,503,4744,2838,2703,1417,957,1490,238,4380,1261,2365,1923,3032,1573,1499,2729,1754,3084,290,1222,2105,2240,2855
1460,619,1932,3041,3786,1486,732,936,4380,386,4384,2482,2959,1352,1347,1499,412,2136,1876,2131,1997,3050,1863,1057,2534,2214,3240,191,1096,2669,2313,2695
775,632,1750,2838,4245,2092,732,1035,4029,529,4336,2214,2764,1373,2902,1373,277,4449,836,2292,1607,2760,1629,1330,3093,1824,2976,308,1456,2149,2422,2868
732,555,1642,2842,4362,1599,507,879,4453,684,5125,2426,2621,1339,1001,1724,269,4978,1074,1152,1811,3080,1287,1897,3682,1776,3370,247,1092,2257,2170,2786
797,568,1837,2842,4263,1837,615,914,3786,576,4796,2560,2894,1560,1347,1404,299,5134,1512,2209,663,2825,1798,1252,3292,1780,3366,290,1178,2335,2244,3002
992,576,1867,2889,3756,2452,832,918,4722,498,4726,2448,2716,1482,1564,1581,420,4696,1373,2300,1889,1343,1430,1256,2396,2019,3193,204,1022,2179,2413,2794
1157,606,2192,2959,4258,2296,658,910,4748,468,5138,2547,2461,1347,1746,1447,416,4137,1425,2253,1967,2877,936,780,2928,1568,3119,217,1187,1811,2205,2959
784,550,1802,2777,4445,2062,749,931,4423,615,4640,2261,2591,1456,1317,1551,364,4380,1330,2309,1759,2599,1971,767,4007,1698,3249,334,1391,2049,2170,2842
910,619,1746,3219,4510,1655,585,927,4094,464,4874,2270,2738,1334,2010,1243,355,4731,1183,2292,1837,2963,1313,1339,2157,1707,3175,243,1222,2079,1975,3058
810,650,1984,2872,4427,1590,684,1048,4185,568,5099,2474,2907,1317,1564,1222,334,4397,1391,2235,1690,3149,1746,1161,3158,888,3370,351,1408,1975,2240,2859
814,585,1819,3175,3778,1975,455,680,4345,901,5086,2569,2716,1642,1018,1191,412,5263,1473,2335,1806,3145,1577,1165,2699,1776,1586,347,1096,2170,2153,3110
1365,542,2136,3210,4219,1928,611,914,3812,429,4986,2404,2712,1399,1300,1603,303,4800,884,2287,1967,2924,1451,1326,4189,1681,3314,117,953,1889,2192,2664
1313,568,1871,3067,4111,1356,611,862,3336,529,4973,2469,2712,1334,754,2400,368,4514,1486,1993,1997,2894,1503,884,4839,1841,3440,295,641,1949,2274,2738
892,559,1798,3284,4761,1746,645,801,3929,645,5056,2257,2803,1334,1824,1092,364,4674,1356,2066,1893,2937,1599,1174,3206,1746,3310,269,1573,823,2166,2980
1122,576,1759,3015,3643,1915,650,1074,4653,490,4852,2175,2721,1365,1815,1633,377,4345,1685,2235,1906,2430,1534,1568,2799,1690,3110,204,1980,2322,1096,2760
771,550,1975,3249,4449,1776,550,1044,3847,529,5554,2647,2781,1365,1936,1048,390,4783,1473,2383,1664,3119,1352,1651,2703,1417,3214,230,1165,1863,2019,1633
