27,24,15,19,18,15,14,15,24,24,18,24,15,20,27,23
48,44,38,48,52,55,51,54,45,45,52,46,45,42,34,51
31,19,35,25,27,21,25,22,28,25,23,26,33,30,29,37
53,65,53,50,62,49,69,55,49,52,70,57,61,69,58,57
42,48,48,41,37,47,46,39,45,38,42,35,48,45,45,35
48,38,34,38,49,40,47,47,48,54,50,64,38,40,48,53
14,12,16,12,9,13,9,14,7,15,15,8,6,10,5,8
0,1,2,6,3,0,2,3,1,0,4,3,0,1,3,3
21,20,21,28,17,21,20,23,13,16,17,16,21,11,17,19
28,31,37,31,46,31,25,21,27,33,12,16,25,22,34,32
68,69,74,71,72,79,74,78,77,83,76,69,68,70,72,57
8,11,3,9,6,4,4,2,9,6,6,6,6,12,13,3
23,27,50,37,32,49,33,39,39,21,26,27,40,30,23,31
11,23,14,17,16,15,15,12,19,17,19,17,17,15,17,13
50,50,40,42,42,42,57,53,39,38,47,57,57,65,38,58
40,30,32,38,24,31,21,35,42,45,35,41,32,30,49,32
