27,19,43,25,52,19,57,29,69,34,23,17,30,34,14,20
27,25,45,24,45,15,61,38,74,32,23,8,30,37,11,17
27,30,71,15,35,11,48,30,57,48,34,25,33,26,12,10
32,14,61,15,47,13,46,55,56,43,27,27,36,20,9,11
37,23,68,19,34,13,46,52,44,45,25,24,27,30,16,9
28,23,69,8,33,18,56,32,60,41,30,16,38,33,16,11
37,11,66,5,31,22,51,54,51,45,26,23,34,32,18,6
28,13,71,12,37,18,47,30,63,43,39,19,27,32,21,12
22,17,65,11,42,13,39,49,68,50,32,25,32,34,8,5
25,16,70,17,39,10,50,44,77,39,35,21,22,31,11,5
32,11,67,11,39,19,56,45,65,44,30,10,31,38,5,9
31,7,61,12,44,13,62,37,70,28,21,15,28,51,22,10
32,20,69,17,39,11,51,40,62,35,23,9,34,44,18,8
29,16,67,24,39,20,50,37,67,42,21,11,30,35,13,11
22,16,52,34,51,16,51,44,64,39,28,9,29,35,8,14
33,8,66,23,46,9,44,46,65,47,22,21,34,28,10,10
