[8194, 8702, 8114, 7814, 8598, 10094, 4426, 9593]
[8376, 9241, 7397, 8951, 7387, 8614, 8448, 7122]
[8227, 7595, 8044, 6994, 10568, 9236, 7924, 6949]
[9404, 7664, 5997, 8418, 8146, 9467, 9817, 6624]
[8065, 8574, 6936, 7519, 10486, 6712, 8694, 8551]
[8169, 8339, 9803, 7646, 7904, 6807, 9640, 7228]
[7487, 7848, 11481, 5085, 7434, 7968, 9213, 9020]
[8614, 9255, 8846, 6553, 10704, 6986, 8243, 6336]
[9524, 11338, 5295, 6774, 6730, 10539, 6977, 8360]
[8846, 5961, 8630, 7966, 8349, 9404, 10617, 5763]
[7902, 11823, 7848, 11037, 9218, 8098, 3813, 5795]
[8316, 8522, 10402, 701, 8321, 11919, 10403, 6952]
[10585, 8644, 8865, 7821, 10262, 8476, 9264, 1618]
[7823, 7129, 5986, 8067, 8337, 9858, 9354, 8983]
[7210, 9428, 5085, 10340, 8082, 7390, 9718, 8282]
[8266, 6685, 9148, 4239, 10027, 6443, 10554, 10174]
[7729, 8231, 7024, 6228, 7874, 5984, 10917, 11548]
[9518, 8718, 10508, 6295, 8075, 8411, 7122, 6888]
[8104, 7505, 9418, 9388, 8628, 6956, 8271, 7266]
[8114, 5763, 5951, 8121, 9884, 11048, 7300, 9354]
[7351, 10315, 7228, 5309, 7092, 8821, 9610, 9810]
[8800, 7871, 7664, 7063, 10721, 6078, 10462, 6878]
[6553, 11564, 7390, 8280, 7883, 8704, 7775, 7387]
[8805, 8310, 9838, 6325, 7252, 7466, 8551, 8989]
[7141, 8708, 9178, 7422, 8397, 7805, 7374, 9511]
[8568, 8642, 5762, 11260, 8596, 7501, 8019, 7187]
[7222, 9202, 9273, 7116, 8363, 8704, 7485, 8169]
[7856, 5433, 8107, 7899, 11045, 7782, 10432, 6982]
[6708, 10191, 7508, 7422, 8835, 7888, 9273, 7710]
[8309, 8370, 8233, 7205, 10304, 6069, 8261, 8785]
[8505, 10647, 9020, 9886, 7192, 5599, 7676, 7010]
[8812, 8770, 6597, 11424, 7159, 7510, 12304, 2960]
