312,380,1005,8,61,135,380,303,476,37,827,50,32,569,224,44,260,865,80,181,83,17,400,52,73,3,26,274,54,544,57,32
596,204,966,4,116,162,402,136,562,59,774,62,143,426,255,77,344,864,91,190,99,46,317,58,87,2,32,189,60,548,60,53
602,366,495,20,109,153,429,178,722,60,763,65,135,443,264,63,307,819,148,162,77,14,245,68,78,3,46,195,75,464,87,50
693,358,966,1,105,139,444,184,588,50,831,53,97,478,207,40,325,867,96,146,61,43,272,47,72,6,32,243,67,594,63,22
562,498,952,17,36,146,367,253,604,51,740,75,128,349,317,63,291,787,115,232,88,5,297,69,94,13,47,212,86,507,101,63
690,285,981,11,103,29,608,112,546,45,816,48,129,498,210,57,372,888,71,142,65,23,310,49,82,1,33,158,37,624,55,37
353,403,951,13,123,115,221,296,496,92,720,90,217,383,260,84,253,756,128,229,150,65,378,79,111,3,66,260,104,490,112,98
666,461,964,2,59,125,474,118,469,38,817,49,113,426,219,45,344,889,77,151,63,29,293,60,161,3,26,264,49,556,73,56
436,495,976,13,164,151,434,130,362,64,611,95,169,237,413,117,386,781,124,251,124,70,218,87,118,8,40,151,96,482,75,50
417,556,972,19,166,165,310,154,673,23,629,91,97,222,382,126,400,731,171,242,147,38,225,91,152,9,47,179,109,460,86,73
555,348,961,8,93,138,402,269,627,67,372,72,102,408,271,61,417,826,111,207,89,26,232,72,85,4,36,251,72,512,84,41
595,375,976,6,122,181,375,198,517,62,813,29,151,467,250,28,259,862,102,161,58,35,381,48,118,1,38,259,61,550,57,30
536,278,952,15,130,154,453,228,531,73,756,85,60,511,281,90,364,778,101,225,97,33,198,69,96,6,54,178,102,512,70,53
503,404,952,23,132,167,392,227,582,79,675,91,188,195,286,120,313,746,109,245,115,15,197,73,156,7,50,251,102,439,93,98
685,360,958,6,73,150,551,181,426,32,888,49,57,707,64,36,328,907,54,152,61,12,336,34,57,2,32,199,48,610,41,30
631,442,974,7,101,115,562,171,536,49,760,65,134,303,253,38,305,841,106,245,73,14,272,68,91,2,33,237,73,557,69,42
504,384,942,9,152,131,410,221,619,88,688,84,249,327,325,90,161,777,115,251,119,13,298,76,115,2,50,167,91,462,101,35
479,476,957,14,130,148,439,158,672,91,705,87,98,325,314,75,386,365,131,226,116,23,285,77,91,3,62,200,91,378,113,60
634,284,982,16,87,211,392,304,453,55,809,63,89,476,255,44,342,860,48,203,66,24,299,52,74,7,39,277,67,508,76,35
574,435,981,17,146,155,371,223,528,91,713,65,103,405,299,81,257,788,156,123,76,11,356,77,118,9,70,232,75,406,90,76
648,250,991,13,105,267,558,165,518,54,803,66,128,463,240,52,245,843,116,187,29,14,334,58,70,2,44,189,69,529,60,41
512,475,957,11,81,211,306,164,565,81,714,74,215,342,325,75,398,784,117,218,102,22,295,77,101,3,40,161,86,515,89,55
623,471,963,19,58,141,503,162,610,60,797,60,98,387,326,61,258,865,92,171,61,20,165,48,78,3,43,213,62,420,87,40
634,332,946,6,87,163,428,161,568,65,787,62,73,439,255,81,309,823,100,224,112,35,311,37,107,1,49,234,63,540,93,43
609,439,971,12,113,141,457,134,620,46,758,76,123,438,293,73,267,820,109,174,87,56,185,73,69,2,32,214,75,537,66,87
481,452,945,7,119,138,361,163,556,84,662,91,129,408,337,59,316,801,206,246,94,31,316,73,124,7,67,143,104,534,88,46
525,444,979,3,103,216,337,271,604,29,781,59,42,406,302,45,311,875,79,173,80,18,323,65,97,0,16,267,61,512,68,86
646,354,983,6,54,153,541,163,592,33,748,60,127,508,303,61,272,821,111,160,86,39,217,76,82,2,27,67,65,553,103,76
569,352,973,5,123,144,382,233,612,70,704,85,157,393,282,49,318,787,173,230,98,8,292,84,88,3,68,183,36,521,111,20
601,344,973,11,89,137,517,203,611,51,754,59,161,449,283,56,219,836,101,172,76,42,247,66,105,2,40,229,59,275,84,55
573,390,967,21,170,135,450,185,550,108,723,80,169,384,289,65,304,774,149,229,84,3,277,58,82,7,77,154,103,539,41,19
335,336,924,31,156,191,358,266,611,141,608,118,392,227,357,113,318,654,171,281,122,21,214,109,129,14,77,206,134,347,128,83
