620,631,608,626,634,603,614,586,577,576,572,559,543,550,565,557
467,478,515,471,430,437,458,443,469,444,435,429,469,471,507,467
363,367,431,385,410,391,358,367,374,382,401,375,403,391,369,368
672,644,672,606,672,626,652,625,672,629,675,666,595,649,648,679
701,640,606,679,663,644,677,676,715,696,678,695,687,681,720,670
642,683,573,687,624,653,638,692,686,678,693,698,656,694,650,668
876,859,895,895,957,929,933,889,916,876,910,888,872,895,843,863
479,463,449,483,421,449,418,480,439,453,429,442,488,509,528,486
690,705,700,639,728,674,711,682,654,705,693,650,701,642,635,698
333,301,344,304,311,303,309,303,343,314,319,352,305,325,299,359
550,596,589,579,608,577,569,549,519,531,533,588,603,566,558,550
187,171,190,181,171,211,218,197,177,205,199,206,180,173,188,186
522,561,536,555,483,509,526,561,568,553,515,539,511,558,575,544
459,482,460,484,429,494,460,487,467,481,458,482,490,518,478,464
284,283,273,278,278,301,269,293,245,324,336,264,291,234,269,272
347,328,351,340,373,391,382,362,371,345,346,359,398,336,360,361
