473,389,1016,493,444,442,326,555,553,771,273,411,530,509,597,410
413,462,974,495,485,444,305,570,523,757,323,447,527,489,584,394
426,427,934,504,503,443,325,583,542,687,324,440,533,495,614,412
453,410,1057,479,488,435,350,536,499,763,253,436,571,493,598,371
398,427,973,493,511,469,321,571,554,726,287,414,512,516,600,420
449,409,1021,523,494,441,313,514,513,725,296,384,529,528,628,425
422,428,1021,521,428,448,303,548,538,758,267,425,511,497,628,449
450,401,1134,542,419,450,296,526,533,797,233,403,536,467,603,402
426,364,1011,468,432,469,330,535,591,836,263,403,527,515,610,412
425,388,1026,494,422,438,317,553,551,818,285,434,533,524,604,380
425,363,1018,510,451,443,329,570,559,818,271,428,521,507,591,388
419,392,973,469,468,416,355,593,577,792,309,395,524,487,652,371
420,388,1042,489,474,427,297,539,535,787,300,403,540,513,656,382
402,387,1001,521,492,427,279,552,611,798,235,442,535,516,624,370
453,445,1052,482,425,422,282,504,562,873,253,434,532,517,600,356
458,395,970,483,459,422,307,535,567,863,269,396,539,549,611,369
