88000,67008,61632,40896,40448,38912,40192,45056,34176,32768,31616,32256,28928,35136,28480,30784
126144,90688,86976,61376,66944,70720,59520,53184,49856,53312,50304,48064,47936,46592,42816,35648
88320,77888,58112,51008,45056,39680,42752,36928,36352,33792,29056,25408,27136,25728,25984,23552
82112,59200,59456,45312,42112,34560,35776,29056,30592,29184,27904,22720,22656,23232,20352,15936
109440,88640,70464,58944,52800,44160,41664,41728,35392,35584,36608,39168,34688,28864,29760,24384
49344,43840,34688,27968,24448,22272,19264,18752,16704,18560,13248,13312,15040,13632,12160,11584
42880,37888,26752,29504,23616,27136,22400,17920,18240,18560,18688,17024,18176,17216,14272,22144
88704,92544,65152,66880,46400,41344,43648,44608,38528,31872,39232,39872,32384,32640,24128,24576
107392,74944,61120,53312,51776,47936,40576,44864,34944,31232,31680,30272,29568,25472,24640,19776
33088,27264,24320,18752,10560,11136,14784,11712,10496,8512,6656,7104,8576,8512,5824,4032
86656,68928,63232,67328,38528,37952,35456,38208,37568,29568,30848,39168,30784,30592,27520,23616
72448,71296,63296,54144,51136,56896,44480,42496,42240,41472,39488,33664,35456,33600,33728,34240
43840,36992,30016,25792,21824,21632,22464,18624,18112,20096,19392,15040,17344,12416,16512,16640
145984,108224,106368,89344,85312,71424,71488,65600,68224,57792,58688,51264,44224,46784,46400,37376
77376,65280,45952,37568,40576,36416,33408,27648,31808,28032,26368,27328,25344,22784,22848,16064
46976,35392,33344,31168,29184,30144,28608,26304,24640,25280,20480,18624,20032,17152,19840,19072
