114688,89024,54528,141184,85760,72192,86976,103040,46016,106496,49472,61696,124160,59520,57408,36544
79104,78080,44352,119168,60928,66944,64256,79808,52352,73856,36672,61696,85504,62464,42816,38016
78336,56320,41088,93056,52736,47744,62400,62336,45888,67904,45248,42752,84736,38912,40640,30784
60096,43008,36672,71424,47296,60160,53760,53120,35904,62144,24064,36736,66944,51392,29824,26752
59136,49792,31424,70144,41408,32256,40256,49408,34304,44928,28672,35008,62592,30656,33152,27584
53952,38976,37248,64896,45952,31744,41728,52736,33728,50944,23104,30976,43840,29888,30656,21952
48448,39872,25408,55360,36288,38912,40128,49600,32512,40256,16960,30016,62976,27776,28224,23744
49472,29312,26496,52160,32256,47360,40320,51200,32256,46784,15232,20480,38336,31744,26560,22720
46144,32640,23488,48576,32768,36288,33728,41984,30080,44224,16256,22464,46592,26432,25920,20288
48704,31808,23552,46016,26368,29952,35008,37568,27712,28480,20160,23296,49920,24512,23360,19200
40384,32768,24704,49728,30784,27392,29952,39488,27584,33600,16320,21632,37184,23744,24640,20352
44864,28672,26240,48384,26048,31680,31168,42752,22400,28288,18432,17344,30656,21504,24064,17792
43136,28672,19456,48896,22848,31296,26752,40640,22272,25920,14592,18816,29888,24640,23936,16512
40832,25024,23168,41728,24960,30016,32640,38848,25536,29632,11136,12160,29760,19072,19264,16576
37376,24832,19200,38272,22976,17216,24064,36160,23296,27648,13952,18880,32832,18816,23168,16576
28736,21760,18560,32960,22784,23616,25920,30592,19200,21504,14080,13504,25216,22720,19072,19200
