9840,14170,17934,11323,17225,12407,21777,17360,12635,12803,24632,13651,13217,21487,23798,15231
13153,10750,19023,10837,16905,12551,22046,17312,12360,12731,24539,13077,13437,20598,24316,15591
13281,14638,13452,11029,16778,12370,22330,17665,11949,12844,24696,13084,13332,21408,23964,15257
13268,14762,17541,8217,16672,12626,22442,18180,12146,13029,24291,12878,13635,21592,23204,15575
13502,14335,18770,10868,12458,12833,23073,17816,12062,12636,24098,13126,13049,20414,24165,15432
14196,14886,17413,11060,16877,9199,23116,18049,11654,12817,24575,13118,13522,20556,23383,14977
13952,15037,17324,10896,16965,12483,17509,17574,12068,12572,24100,13002,13516,20628,24332,15096
14183,14673,17601,10817,16479,13119,23387,13573,11665,13087,23942,12886,12969,20529,23813,15344
13821,15014,17906,10822,16669,13224,23367,18229,8669,12541,23840,12973,13006,21113,23800,14745
13765,15256,19635,10941,16259,12780,23556,17951,11919,9461,23735,12835,13247,20327,23158,14807
14286,14781,17785,10617,16496,13295,23700,18305,11925,12447,17881,12813,13012,20330,24084,14869
14710,15005,18405,10556,16733,13229,23707,18104,11923,12372,23667,9498,13077,20105,23547,14845
13999,15061,17712,10779,16052,13092,23859,18124,12043,12498,23952,12470,10349,21207,23881,14653
14056,14770,17591,10632,16249,13162,23956,18554,11762,12391,24239,12820,12626,15432,24429,14837
13932,15224,16902,10663,16020,13028,24611,18420,11892,12347,23764,12867,12788,21093,18186,14891
15761,15140,17714,10679,15911,13160,24117,18621,11642,12574,23776,12357,12878,20619,23418,10743
