17984,36288,5888,35136,9216,10048,2624,8320,6208,11520,7424,35264,43392,37632,43904,8512
12416,20160,7232,35520,8640,14784,3648,10816,5376,9344,6784,35520,44096,37120,44224,8000
17600,44544,1856,41792,6144,18560,3136,7360,5248,8384,5376,31872,49216,43648,47040,6848
13504,33088,6720,15360,7488,9088,2560,10240,6080,11712,7808,31616,41792,37568,41536,7744
5696,34880,7168,33408,3584,20544,3200,10944,7232,12736,7936,32064,41664,36800,42624,8192
27840,44224,4288,40704,5248,4864,3392,8448,5632,8640,6080,40896,46272,44992,46848,6016
24256,35520,5376,40384,5440,9920,1792,8384,5632,9728,7296,29248,47040,44096,48448,6656
17728,47616,3648,44352,7232,5504,2304,2560,5568,8000,3904,41152,50112,46400,50688,5824
21120,28096,4544,43840,6336,15488,1856,7424,2368,8704,5312,42816,50240,46784,50880,5248
21568,28352,7168,37376,6080,14976,3328,11392,7680,4736,8768,36544,42880,39680,40576,7872
17728,40128,6080,35648,11584,11328,2688,9536,3968,9472,3520,36288,45696,39808,45760,7040
37632,29184,4800,39552,4672,11840,2432,8192,5120,9344,6400,28224,47808,42496,47552,6528
14080,26816,2816,48512,3136,22528,1280,6144,4736,6272,4608,44608,28736,50496,53760,4032
15680,46784,4736,43840,8640,6272,2240,7104,5120,8128,4544,31360,49408,21120,49600,3968
34304,45824,3648,42176,10368,8832,1792,8320,6016,9536,6976,42816,49984,46464,23872,5312
22720,34240,4544,39616,7680,15168,2496,7232,5312,8640,7296,39872,56192,42880,48576,3456
