7,0,16,0,3,28,0,2,0,0,64,12,30,21,5,6,0,0,1,110,14,5,126,0,0,12,46,32,65,29,27,32,1,23,37,0,24,88,7,0,0,4,87,10,6,40,42,1,4,15,54,46,50,173,12,0,1,53,0,82,28,29,0,1,49,69,5,109,0,0,36,18,33,1,16,29,4,0,0,12,42,1,0,8,39,38,0,49,11,1,32,0,9,17,0,0,0,7,5,0,56,41,119,34,5,111,26,45,1,15,41,41,72,30,17,63,0,18,42,0,0,0,32,23,2,17,0,26
7,0,27,0,0,143,0,0,1,0,38,10,15,9,1,0,0,0,0,212,2,5,8,0,0,6,200,6,234,217,7,12,4,3,0,0,25,10,6,0,0,22,41,7,0,228,6,0,2,11,3,48,90,25,4,0,0,0,0,54,3,0,0,0,12,3,6,2,0,0,19,0,8,2,17,18,1,0,0,4,10,0,0,16,9,8,0,0,6,2,1,0,6,68,0,0,0,2,0,0,0,17,25,5,1,17,58,12,0,24,108,25,40,22,8,12,0,2,33,0,0,0,27,24,3,114,0,27
1,0,21,0,4,109,0,4,0,8,61,21,48,6,2,3,0,0,2,125,6,3,32,0,1,5,66,35,92,69,51,36,1,9,7,2,26,54,13,0,0,13,110,13,2,89,24,2,2,14,27,51,65,53,9,0,3,36,0,43,15,0,0,1,21,23,7,3,0,0,36,30,19,7,23,38,3,0,13,11,5,0,13,18,21,17,0,9,6,0,15,0,15,17,0,0,6,8,4,1,9,34,52,16,15,27,32,12,0,5,73,10,40,26,25,44,64,3,100,0,0,0,24,25,0,17,9,22
12,0,12,0,2,78,0,0,2,0,54,31,22,7,5,0,0,0,1,129,1,1,41,1,3,9,25,40,125,61,17,26,2,6,0,0,21,46,7,0,0,6,78,4,0,61,26,0,2,15,41,16,24,102,41,0,1,0,0,100,20,36,0,1,20,15,8,3,0,0,36,1,16,1,9,23,11,0,0,19,26,0,1,8,65,27,0,31,5,1,7,0,11,50,0,0,0,2,0,1,1,37,100,14,1,20,46,22,0,69,56,23,55,52,19,21,0,4,28,0,1,0,16,38,0,76,4,19
7,0,34,1,12,74,0,7,1,1,56,10,33,13,6,1,0,0,1,103,8,5,52,0,0,12,50,58,54,35,1,13,1,39,4,0,29,44,19,0,0,3,123,10,2,36,32,24,2,19,28,32,34,151,11,0,0,6,0,45,25,2,0,0,16,18,13,1,0,0,50,4,26,1,25,18,2,1,3,13,7,1,0,29,10,25,0,12,4,0,30,0,19,23,0,0,0,12,0,0,9,42,42,34,0,18,14,31,0,13,64,40,88,75,20,38,0,5,89,1,1,0,52,25,0,18,5,24
5,0,32,0,9,15,0,0,0,0,85,10,25,10,1,11,0,0,1,70,4,15,102,0,0,12,26,51,35,20,6,15,1,21,23,5,9,22,6,0,0,11,53,7,1,24,34,0,3,18,62,29,20,117,3,0,0,24,0,94,35,6,0,0,15,18,3,69,0,1,54,0,32,3,8,15,5,0,13,26,6,0,0,5,47,16,0,41,14,0,11,0,7,5,0,0,1,1,2,0,37,42,77,40,0,52,10,53,0,9,39,64,93,23,8,54,0,5,30,0,0,0,51,14,1,9,3,32
3,0,35,2,8,52,0,0,35,172,62,8,28,1,1,8,0,0,0,89,12,3,9,0,3,7,10,8,56,52,169,22,1,3,13,1,31,10,21,0,0,6,95,13,4,61,11,3,1,22,8,47,49,51,3,0,0,0,0,39,25,1,0,1,19,28,4,0,0,1,40,42,4,1,36,26,2,5,16,4,0,0,23,8,10,14,0,18,4,0,37,2,22,9,0,0,0,4,16,0,8,35,55,8,12,40,1,17,0,3,37,22,28,47,31,25,1,11,43,0,0,0,26,21,0,24,3,12
3,0,20,0,0,67,0,0,2,0,37,18,10,4,3,3,0,0,0,82,3,5,5,0,1,5,21,7,83,51,48,24,15,19,8,0,9,19,39,0,0,2,117,14,0,63,18,50,1,10,14,3,28,142,36,0,0,0,0,75,18,2,0,1,15,5,18,0,0,3,40,9,28,7,12,11,4,0,0,22,5,0,0,11,3,21,0,56,5,0,6,0,22,73,0,0,0,10,0,0,3,36,23,24,0,20,51,20,0,45,53,17,93,83,18,15,0,8,36,0,1,0,20,50,0,33,2,30
9,0,20,0,3,47,0,0,0,0,40,32,13,6,0,7,0,0,0,105,5,4,31,0,2,18,75,12,123,62,2,3,1,8,8,0,33,36,23,0,0,9,127,9,3,73,20,2,4,10,4,27,65,78,28,0,1,0,0,11,6,0,1,1,14,44,4,0,10,0,27,0,6,5,28,24,2,1,5,6,19,0,0,1,6,19,0,39,17,0,2,0,38,37,0,0,0,6,0,0,18,33,31,12,0,44,9,28,0,32,33,25,38,67,14,37,0,4,86,1,0,0,20,39,0,28,0,26
41,0,18,0,7,2,0,1,3,0,65,12,12,6,0,1,0,0,0,81,3,8,66,0,1,47,17,14,59,4,15,10,2,20,14,0,18,34,4,0,1,12,111,27,3,9,44,48,1,11,24,27,26,79,11,0,0,0,0,72,23,15,0,0,1,26,12,0,0,0,34,14,17,1,17,12,0,9,0,2,29,0,0,3,16,25,0,17,0,13,25,0,9,75,0,0,0,6,3,0,17,31,115,22,28,13,18,27,1,20,25,32,43,83,19,57,0,3,22,0,0,0,25,35,7,12,9,17
