43,8,48,13,41,8,31,20,5,7,4,7,17,80,66,72,19,2,0,31,38,4,30,71,26,5,18,50,11,24,12,53,11,44,8,29,28,40,10,144,31,3,36,2,67,56,37,53,57,14,25,21,0,79,20,8,50,30,8,30,0,80,8,22,1,100,29,15,14,2,38,1,98,35,33,18,1,3,37,28,4,14,23,19,12,1,18,16,46,6,31,0,17,99,1,25,1,19,27,28,160,154,17,36,129,73,10,52,25,43,43,18,83,111,3,6,9,25,3,66,33,13,1,92,23,10,3,80
42,7,61,9,23,9,39,27,3,5,2,5,15,87,61,56,19,2,1,33,44,8,25,70,19,6,16,37,11,15,17,49,17,50,2,42,18,39,13,166,24,7,26,2,71,51,29,50,61,9,28,24,0,85,21,21,48,35,15,28,0,83,6,15,1,110,38,15,12,4,32,4,98,42,41,17,1,0,36,30,7,15,20,16,7,1,21,17,46,5,35,0,12,88,0,15,2,18,26,24,159,141,24,44,151,77,12,53,23,45,44,28,80,104,2,14,14,25,4,71,19,21,3,75,16,9,5,68
38,4,62,13,33,13,31,24,9,6,1,4,14,83,68,68,19,5,0,35,42,3,29,73,27,5,20,38,18,16,14,48,10,46,4,24,32,48,6,165,30,10,31,2,73,53,33,62,53,11,17,23,0,79,17,20,47,30,9,27,0,95,3,9,2,105,34,17,13,3,43,6,105,35,30,16,2,3,37,27,4,13,18,20,12,0,19,18,51,5,22,0,11,102,0,17,0,15,25,17,158,149,14,28,134,80,12,56,15,46,42,21,78,104,5,16,11,27,4,71,29,14,5,83,19,17,5,74
41,10,55,9,28,10,35,23,4,10,4,6,22,86,53,54,13,2,0,31,39,4,27,57,23,6,27,37,15,13,23,47,8,56,10,34,20,40,5,161,29,8,34,1,70,50,26,54,57,13,16,21,1,97,24,16,61,31,8,17,0,94,5,21,1,101,33,19,12,1,32,3,112,34,32,17,5,3,43,35,2,13,13,15,9,3,16,18,51,6,28,1,13,110,0,18,1,20,29,18,160,151,16,26,130,89,13,46,26,40,40,22,89,101,6,12,9,29,5,70,26,21,4,94,19,11,6,66
35,6,47,11,25,10,24,26,6,8,4,4,21,80,66,60,20,1,0,30,33,11,27,67,18,7,29,42,17,14,21,43,10,59,5,39,18,50,8,148,29,6,29,2,68,58,22,48,44,15,18,22,0,84,21,23,45,32,9,21,0,85,7,20,0,115,33,13,13,1,36,1,105,35,37,11,4,4,39,31,4,12,18,23,11,1,21,25,56,4,26,0,10,113,0,15,0,19,26,19,169,141,15,36,159,78,15,52,19,46,34,30,83,120,2,7,17,23,4,65,27,18,3,88,22,9,7,68
29,5,42,10,24,9,30,27,2,13,3,2,18,71,50,60,14,5,0,25,42,7,17,70,29,8,28,36,18,9,14,44,9,45,5,51,26,40,13,151,38,11,30,2,74,56,26,59,59,15,18,18,0,92,22,18,40,26,16,38,0,82,3,25,0,113,33,22,12,4,34,3,88,27,48,18,1,7,30,25,6,20,15,16,9,0,25,20,46,3,25,0,13,95,0,17,2,10,29,19,151,134,20,38,160,76,13,66,27,54,32,29,91,120,6,6,13,20,9,79,30,15,5,78,25,12,11,72
36,8,58,10,36,10,38,22,9,9,3,3,21,79,64,58,13,1,0,26,38,4,30,52,23,8,27,42,20,13,21,51,10,39,8,44,28,38,12,157,26,8,29,1,76,54,22,51,63,11,20,23,0,88,24,25,36,35,12,28,0,63,10,26,3,95,30,22,11,3,35,6,88,31,42,17,3,4,26,26,6,20,15,14,8,0,25,21,47,6,24,0,13,108,1,24,3,24,27,15,144,147,22,38,161,53,12,71,29,46,34,33,95,112,8,8,10,25,5,65,38,22,5,79,18,7,5,61
37,5,49,13,33,14,26,33,7,8,5,3,15,76,58,65,18,2,0,31,33,3,29,58,20,6,21,46,17,16,21,46,13,46,5,45,23,42,8,174,16,9,30,0,76,60,26,51,55,16,29,18,0,97,13,22,47,30,10,24,0,79,7,13,2,114,32,14,9,3,35,7,93,28,40,18,2,5,34,28,8,16,23,18,12,0,20,20,36,5,26,0,14,100,1,31,0,25,24,19,144,139,27,35,156,71,12,57,26,51,40,24,92,117,9,9,11,23,3,64,31,15,4,65,25,16,4,66
48,9,49,10,31,9,36,22,6,6,5,6,11,80,56,57,12,2,0,28,36,2,31,63,23,6,17,42,12,24,20,50,8,49,6,33,24,46,9,158,25,11,27,0,66,48,27,63,52,8,19,24,0,98,23,20,66,30,7,26,0,95,6,17,2,113,27,18,7,1,25,5,84,39,42,24,0,3,42,31,5,8,22,17,16,1,23,18,38,5,31,0,16,95,0,23,0,29,31,11,134,133,14,38,139,94,11,61,24,49,43,25,89,112,5,16,16,28,7,63,49,27,4,69,19,9,5,61
49,7,51,13,34,13,25,26,3,4,3,5,16,78,65,67,19,1,0,29,33,1,27,65,25,7,20,38,15,16,20,58,12,45,4,26,22,40,8,167,23,12,33,2,73,49,27,51,58,18,25,22,0,84,23,24,38,29,7,30,0,82,7,13,3,110,33,23,9,1,41,5,88,39,36,25,0,1,25,26,8,14,15,15,18,1,20,27,49,4,35,0,21,108,0,25,2,22,23,12,147,144,18,29,130,76,8,41,24,53,52,24,92,114,1,10,14,28,4,67,29,19,2,83,28,9,3,76
