0,1,0,0,1,5,0,6,0,5,0,2,1,0,0,2,2,5,2,3,7,9,12,4,3,7,1,0,1,4,4,0,1,0,0,2,5,6,4,1,0,2,0,2,3,0,0,6,6,3,2,1,0,1,2,0,17,5,3,2,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,9,6,10,9,8,10,5,14,15,10,0,3,17,11,7,11,6,10,7,10,8,4,7,12,6,4,13,6,16,5,7,6,8,12,11,12,6,13,7,16,9,12,8,7,11,9,9,10,12,15,10,11,6,10,5,8,7,5,7,6,6,12
5,5,1,3,5,3,6,7,0,1,3,4,8,0,1,4,6,7,1,13,2,2,4,2,5,2,4,8,2,0,12,2,1,2,4,8,6,2,3,1,0,5,1,2,3,4,2,1,13,0,7,11,5,2,0,7,0,1,1,2,6,6,1,1
0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,0,0,0,3
0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,9,2,4,2,0,1,12,1,1,0,0,1,1,4,0,10,0,14,0,0,1,0,0,0,0,0,9,0,0,18,0,2,0,2,0,0,1,6,0,2,13,0,0,0,0,0,0,0,14,11,1,0,2,0,0,0,1,1,0,0,0,4
6,6,9,10,5,8,4,9,12,8,9,7,8,10,7,10,10,0,17,5,6,5,7,6,15,7,7,4,4,11,8,6,8,5,7,6,8,8,7,14,8,8,6,7,5,9,5,14,8,15,6,8,9,7,8,12,13,9,11,9,7,7,6,4
30,27,35,30,35,33,30,31,30,33,29,32,27,33,28,32,30,35,0,33,29,32,25,25,34,32,26,29,26,32,23,32,26,28,30,32,29,33,34,24,31,31,29,30,27,31,28,35,29,33,31,28,35,27,29,33,27,31,27,27,28,37,29,30
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
29,27,32,35,20,22,37,20,26,21,30,24,32,25,28,29,20,17,28,22,0,26,31,39,22,14,31,38,25,31,15,32,26,26,31,20,22,31,21,22,28,22,28,29,27,35,35,23,22,17,17,23,29,28,32,26,21,28,23,28,30,26,33,29
26,0,0,0,4,0,0,2,0,0,0,0,0,31,3,3,7,0,0,1,6,0,3,0,14,41,1,1,0,0,9,1,1,9,0,0,13,2,11,0,0,4,0,5,2,1,1,0,2,0,23,3,2,2,0,0,2,10,1,0,0,10,4,0
0,3,2,3,6,6,4,4,0,5,2,0,1,0,3,2,7,8,0,3,0,5,0,2,7,6,2,1,2,3,0,2,0,5,1,4,0,3,3,0,8,4,0,2,1,3,0,11,4,6,1,1,4,0,6,1,3,3,2,3,1,4,5,2
0,1,1,3,2,2,2,1,0,1,2,1,0,0,0,0,0,2,3,1,1,0,1,0,0,2,4,5,3,0,1,0,0,0,2,1,0,1,0,3,0,0,2,1,5,3,1,3,2,2,0,2,0,1,3,2,4,0,2,3,3,0,5,2
14,15,10,25,13,15,13,15,26,18,9,17,17,14,10,22,15,10,14,13,23,18,22,29,0,5,19,17,20,22,13,25,31,25,18,9,14,13,16,12,23,17,17,9,16,12,13,22,14,9,9,11,13,18,25,20,13,20,17,23,12,17,20,15
8,9,7,5,6,8,5,6,6,11,5,8,7,5,8,8,6,7,7,8,7,11,8,4,6,0,9,7,11,6,8,5,8,2,7,8,6,7,12,7,5,11,8,13,9,6,6,10,8,9,7,4,9,9,4,10,5,4,6,4,8,5,8,9
14,10,4,6,11,6,5,10,7,11,9,2,12,13,8,12,13,13,4,18,4,3,9,5,9,5,0,6,10,4,10,7,13,6,12,11,13,5,14,12,7,6,10,7,9,5,7,3,16,7,10,13,11,9,11,5,8,5,9,9,10,13,8,12
1,2,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,2,5,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,0,0,0,1,1,0,3,1,0,4,0,0,3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,7,0,0,1,0,0
0,3,1,2,6,2,3,1,0,1,10,3,8,10,8,0,0,0,5,1,8,0,12,3,0,1,6,9,3,0,5,1,2,0,0,14,1,4,0,8,13,0,10,0,7,2,23,0,9,0,8,2,0,16,9,0,1,1,3,9,16,0,6,3
11,7,3,2,5,1,12,7,0,3,6,5,9,10,4,3,4,3,7,12,1,9,3,0,9,11,6,3,2,4,0,2,4,2,11,5,5,7,15,9,1,11,6,10,7,5,8,2,6,10,14,11,4,6,0,19,3,2,7,0,4,8,3,4
4,5,7,1,6,3,4,8,6,12,5,8,8,5,1,4,6,4,8,1,5,3,5,1,3,8,6,4,7,2,6,0,3,8,6,7,3,9,15,8,0,11,2,4,2,3,2,5,6,8,1,4,13,2,2,3,1,5,5,4,1,9,1,16
1,14,0,8,14,1,0,14,9,13,9,5,4,1,0,7,18,16,2,4,1,6,4,0,5,0,1,2,10,5,5,10,0,2,1,3,0,7,18,6,0,9,0,0,4,3,2,7,0,0,5,2,9,2,8,0,0,2,2,4,4,1,1,6
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
45,9,15,0,0,14,36,3,1,1,19,4,0,24,27,13,0,2,16,1,1,2,1,2,9,33,0,9,8,19,2,0,16,24,24,0,5,19,26,1,1,3,1,36,11,11,30,23,2,0,19,2,14,7,2,15,1,25,1,4,6,9,8,38
