0,0,0,0,1,42,0,64,0,0,0,0,9,3,64,15,0,0,0,0,0,0,0,7,0,0,7,50,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,2,0,0,42,0,0,9,0,45,0,0,18,0
0,0,0,22,3,39,0,64,0,0,0,0,6,12,51,10,0,0,0,0,5,0,0,3,0,0,0,49,0,0,0,0,40,0,0,0,0,0,0,4,0,3,0,0,0,3,53,64,0,0,0,0,0,0,13,0,0,0,0,56,0,0,12,0
5,7,0,10,5,9,0,42,1,0,3,6,0,8,40,21,2,0,10,0,27,0,5,11,1,1,13,28,1,2,0,1,2,11,2,2,0,5,11,9,0,0,0,13,17,3,6,55,0,0,0,11,5,1,33,0,6,25,5,17,0,5,9,0
3,0,13,0,7,6,0,41,3,0,3,2,1,7,39,10,3,1,2,1,21,1,3,24,1,0,2,30,1,2,1,3,5,7,5,4,1,8,3,0,0,1,0,28,18,4,10,55,0,2,5,16,3,3,23,1,3,35,5,10,1,3,12,1
2,11,1,5,0,16,0,41,4,0,2,4,1,16,39,7,0,0,2,4,35,5,3,9,1,1,3,44,1,2,3,4,1,6,7,17,4,6,3,8,0,0,3,18,8,2,7,54,0,0,0,9,3,1,7,0,4,31,5,7,5,2,16,1
0,0,1,7,2,0,0,61,0,5,2,0,1,13,51,0,1,0,0,0,13,0,0,30,0,0,29,60,0,0,0,0,0,1,0,0,0,2,0,10,0,0,0,0,5,0,32,64,0,0,0,0,0,0,24,0,0,3,0,17,0,0,23,0
1,6,4,11,11,13,0,48,1,0,1,2,0,8,49,12,0,0,2,0,31,0,2,18,1,0,0,42,1,1,0,1,8,7,3,2,0,5,2,0,0,0,1,12,8,3,28,59,0,0,1,13,2,0,28,0,3,23,5,14,0,2,17,0
0,0,1,32,17,19,0,0,0,0,0,0,0,13,64,11,6,1,2,0,16,0,0,18,0,0,8,37,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,0,8,0,16,64,0,0,0,0,0,0,28,0,0,2,0,49,0,0,9,0
1,0,0,14,6,1,0,41,0,0,2,5,1,12,36,10,3,1,2,4,24,4,6,21,5,0,1,40,1,2,5,2,1,8,4,18,4,4,4,8,0,1,0,21,14,1,7,61,0,1,1,13,9,0,16,0,6,32,6,10,4,1,5,0
0,0,14,28,38,12,0,64,0,0,0,0,6,0,61,0,12,0,0,0,20,0,0,8,0,0,2,14,0,0,0,0,0,0,0,6,0,0,0,44,0,0,0,0,0,0,19,64,0,0,0,11,0,0,35,6,0,0,0,45,0,0,3,0
