1,6,1,2,2,2,1,0,0,6,1,0,0,7,0,1,13,0,0,12,3,0,0,0,0,1,6,3,5,0,3,2,0,1,0,0,10,0,0,1,0,2,1,2,0,1,5,6,2,3,1,4,0,0,1,1,5,0,1,5,2,1,0,1,4,1,11,7,0,4,7,2,12,2,0,8,0,2,2,0,0,9,2,3,6,8,2,1,7,9,16,4,14,5,4,0,0,2,1,1,0,0,3,1,4,12,0,0,1,0,5,2,0,0,2,0,0,2,6,1,2,2,14,10,2,0,1,5,0,3,6,6,5,0,3,46,2,4,1,1,6,1,3,0,9,6,0,2,1,0,4,1,1,13,24,1,18,0,1,1,3,4,0,1,3,3,1,3,1,3,4,1,1,0,1,1,7,0,3,0,1,2,0,0,0,0,3,0,2,3,0,4,3,3,0,0,0,0,6,1,0,3,1,4,0,1,0,1,3,1,2,0,5,1,5,6,3,0,10,2,7,4,2,3,1,1,1,0,2,1,12,0,0,1,3,0,4,14,2,0,0,3,5,7,2,3,5,2,5,0,0,1,0,9,3,7
1,1,0,5,2,4,2,9,0,2,0,0,0,2,7,4,3,0,5,1,0,0,0,0,0,0,1,0,3,0,3,2,1,3,2,0,0,0,3,0,1,1,0,8,1,3,0,2,6,5,0,0,0,2,0,2,1,0,37,24,4,3,1,6,1,1,0,3,2,1,5,1,12,10,0,2,1,3,4,46,1,0,4,0,0,22,0,3,0,0,0,0,21,7,0,0,0,1,0,0,0,1,3,0,5,3,0,1,0,0,0,0,0,0,2,1,0,4,5,3,2,0,9,0,1,1,0,1,2,1,4,0,4,5,0,3,0,4,3,3,0,3,0,4,7,3,5,3,0,3,2,2,1,3,9,3,4,2,1,29,0,2,1,0,1,9,0,3,4,5,2,0,1,0,0,0,1,0,2,0,1,3,0,0,0,2,1,0,0,2,0,1,4,4,0,0,3,1,1,4,0,0,3,3,0,0,4,0,1,1,0,0,1,0,1,1,3,1,5,0,2,2,1,0,0,4,1,0,0,3,13,36,1,0,5,0,3,4,0,0,0,4,4,3,0,1,0,2,0,0,1,0,0,2,2,1
1,1,0,5,4,0,2,0,1,1,0,1,0,7,6,0,3,1,1,0,0,0,0,0,0,1,5,0,2,0,1,0,0,10,0,1,4,0,3,2,0,0,3,6,1,5,7,5,4,2,1,0,0,0,0,2,4,0,18,8,1,1,2,2,2,1,0,7,2,3,10,4,3,1,1,3,0,1,0,1,0,4,0,0,1,0,0,2,0,0,4,0,26,4,0,6,0,1,1,1,2,1,2,0,12,1,0,0,1,3,6,1,1,0,6,1,1,2,8,0,0,0,9,4,1,1,0,4,0,4,8,10,3,3,1,1,0,3,0,14,4,0,3,8,2,5,2,4,0,0,2,1,1,5,6,0,1,0,0,7,0,0,0,0,3,10,0,1,0,6,8,3,1,1,0,4,0,1,1,0,1,3,0,0,2,2,4,0,0,1,0,1,1,2,3,3,0,1,0,3,1,0,1,5,1,0,6,0,3,0,1,6,2,0,6,0,14,4,1,0,1,0,1,6,1,1,1,0,20,0,25,1,1,1,3,0,2,10,1,6,2,6,4,16,2,1,9,2,4,2,0,2,1,1,1,8
9,0,0,13,2,0,2,1,0,0,1,0,0,3,11,0,11,0,0,8,6,0,0,0,0,0,6,0,2,0,2,4,1,2,0,30,0,1,0,1,1,1,0,4,1,5,1,6,3,1,2,1,0,1,1,1,4,2,42,1,3,2,32,2,6,0,0,4,1,2,2,1,2,2,2,2,0,2,5,2,1,11,1,1,4,1,2,5,0,0,1,0,6,1,0,0,0,0,0,4,3,6,3,0,7,2,1,13,3,1,0,1,1,0,3,0,5,2,4,2,4,1,11,2,1,1,0,2,1,2,5,1,2,6,0,2,0,3,2,1,0,1,3,0,2,5,2,3,0,0,1,0,0,9,5,0,0,1,0,3,1,2,0,0,1,8,0,8,1,3,6,0,4,1,0,3,0,1,2,0,0,2,0,1,0,3,4,1,0,1,1,1,0,14,0,0,5,10,0,2,0,0,2,4,0,3,0,0,0,0,0,1,0,0,8,0,4,2,6,0,3,1,2,7,1,0,2,0,6,7,7,16,0,7,1,1,3,7,0,0,7,1,6,1,0,3,3,1,2,0,0,4,0,2,3,1
0,0,1,0,5,0,0,0,0,0,2,0,3,1,7,0,13,1,1,0,0,5,0,0,0,2,4,1,3,0,3,1,3,3,0,1,1,0,0,2,0,0,0,6,0,7,5,6,4,4,1,0,0,0,1,0,1,0,14,1,4,0,1,6,2,12,0,0,0,2,6,3,12,0,1,1,0,4,0,1,5,3,0,0,3,11,0,3,1,4,3,0,12,4,1,2,0,2,0,0,0,1,6,0,9,0,0,0,4,0,1,1,4,1,10,15,0,3,4,0,0,0,2,0,2,0,0,3,1,8,9,1,4,2,7,21,0,12,1,3,0,4,7,1,1,1,4,3,0,2,0,0,0,2,11,1,0,0,1,0,0,2,0,2,2,30,1,2,3,4,4,0,1,0,2,9,0,1,3,0,4,3,0,0,0,6,3,0,1,1,1,3,0,1,2,3,0,1,0,4,1,0,2,4,1,0,4,0,4,0,0,4,1,0,7,6,3,0,3,0,1,0,0,2,0,1,2,1,12,7,27,0,1,0,2,1,2,4,0,0,11,5,4,9,1,1,1,3,0,2,1,0,0,1,2,2
0,0,1,6,1,0,1,1,0,0,0,0,0,7,2,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,1,1,2,0,2,0,1,0,1,1,3,4,23,1,1,2,7,1,1,1,1,0,0,1,0,43,25,2,0,7,0,4,3,0,0,0,4,9,4,0,0,0,4,0,0,1,0,1,12,0,2,0,0,1,0,0,0,2,1,4,4,0,0,0,1,0,1,0,1,1,2,6,5,0,0,3,1,0,3,0,0,5,0,1,4,1,1,1,0,5,0,0,0,0,5,1,7,11,7,6,0,3,1,0,1,12,3,0,3,11,2,9,6,3,4,0,0,0,0,2,11,34,0,10,0,0,0,0,0,2,0,4,8,1,3,0,17,6,0,3,0,0,1,0,0,2,0,1,3,0,5,0,0,4,0,3,1,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,5,3,1,9,2,3,0,1,0,0,1,2,6,3,0,0,0,18,3,14,6,0,1,0,0,4,13,2,1,4,2,6,4,0,3,1,2,3,1,0,0,0,5,2,10
1,3,1,0,0,2,0,0,0,1,1,0,7,2,5,0,8,0,1,0,0,4,0,1,7,0,4,0,2,0,3,1,4,2,0,3,2,2,0,0,1,0,1,6,4,0,4,2,5,7,0,1,1,2,1,0,2,0,0,1,5,0,1,4,1,4,0,0,0,17,4,0,19,0,1,1,0,5,5,2,4,2,6,0,2,4,1,2,0,8,0,0,11,2,1,1,0,2,0,4,0,1,4,1,9,1,0,1,3,0,1,0,1,0,2,11,4,4,9,3,0,0,6,0,0,1,0,5,1,1,5,0,3,4,5,3,3,11,4,3,0,0,11,0,1,1,7,3,2,1,1,0,0,1,3,0,0,0,0,0,0,2,2,5,1,22,2,4,5,5,2,3,1,0,2,0,2,0,5,2,5,6,0,0,2,5,5,1,1,1,3,1,0,1,1,0,1,4,1,6,0,0,4,3,1,0,1,0,4,0,1,1,1,0,4,2,6,1,7,2,2,1,1,2,0,1,4,4,12,1,25,1,0,0,1,1,7,5,2,2,6,3,0,26,0,2,7,5,2,12,2,2,0,2,2,1
1,1,0,4,3,0,0,1,0,0,0,0,0,3,3,0,12,2,1,4,0,0,2,0,0,4,4,0,1,0,3,0,0,2,0,2,7,2,2,4,0,0,2,6,11,26,6,2,6,2,0,0,0,1,0,3,1,0,43,41,2,0,2,3,3,3,20,10,1,2,1,5,9,0,1,3,0,1,1,6,0,10,1,0,1,0,0,4,0,1,0,0,21,4,0,5,0,2,0,1,0,1,1,0,11,7,0,0,0,2,2,0,1,0,4,1,1,2,8,0,3,0,8,7,1,2,1,1,4,2,3,0,6,2,0,4,0,0,0,2,3,2,16,0,1,10,2,1,0,2,0,1,3,3,16,0,0,0,1,2,1,1,1,0,3,3,4,2,1,6,2,2,1,2,0,2,0,1,4,0,1,1,1,0,0,1,2,0,1,0,1,1,0,2,0,0,3,0,1,2,0,0,1,2,1,1,0,0,0,3,0,0,0,0,0,1,3,0,2,0,0,0,1,6,0,0,10,0,2,4,27,0,1,4,5,0,3,9,1,6,2,0,2,2,2,1,1,3,0,0,0,1,1,4,3,5
3,1,0,15,0,1,0,1,2,2,0,3,0,3,6,1,1,0,0,9,1,0,0,0,1,5,1,0,3,0,8,0,0,3,0,30,3,1,0,0,1,0,1,8,0,26,0,6,5,7,1,0,0,2,1,0,0,1,34,3,3,0,0,3,1,4,0,2,0,1,1,1,3,1,1,3,0,4,1,1,1,2,0,0,2,0,0,3,0,3,0,4,3,6,1,2,0,7,0,7,0,0,2,0,7,2,0,5,9,0,0,0,1,0,6,0,0,1,5,0,0,1,4,6,0,2,0,9,1,1,8,2,3,0,2,5,1,0,0,2,0,2,6,1,4,1,3,0,1,1,0,3,0,12,7,0,0,0,0,0,0,1,0,0,3,9,0,3,1,5,1,2,4,1,0,1,0,0,3,0,2,4,2,0,0,4,2,0,0,2,0,1,0,6,1,1,2,2,4,8,0,0,5,5,3,3,1,0,2,5,0,0,2,0,6,1,6,0,4,0,1,1,3,3,0,1,0,1,4,11,18,31,1,0,1,2,4,5,2,2,1,3,11,7,0,2,3,4,2,3,1,2,4,1,3,3
0,2,1,0,6,3,0,1,0,0,0,1,0,4,14,0,10,0,1,0,0,0,1,0,3,1,2,0,3,0,2,1,0,4,0,1,0,0,0,0,0,1,0,5,8,1,6,9,3,2,0,0,0,2,0,2,1,2,7,7,4,2,4,3,4,4,2,0,0,2,2,3,4,1,0,2,0,2,4,0,0,10,0,0,0,1,0,3,0,1,0,0,12,3,0,1,0,0,0,1,0,0,2,0,6,13,0,0,3,1,0,0,6,1,5,0,6,6,5,0,0,1,5,8,0,1,0,2,0,2,3,6,3,2,1,4,0,5,2,7,2,0,5,0,2,2,9,4,1,0,1,1,2,4,21,0,1,1,1,0,0,3,0,0,2,6,5,3,2,4,2,1,3,3,0,3,0,0,4,0,3,3,0,0,2,0,4,0,0,0,1,1,3,7,1,0,0,1,2,8,0,0,2,4,1,0,0,1,0,0,4,9,4,3,9,4,3,0,4,1,1,0,0,12,0,0,5,1,14,3,18,7,0,9,2,0,2,8,1,1,6,2,2,4,0,1,7,2,4,2,0,1,0,7,3,2
