4096,2876,2536,2512,2020,1976,1984,2384,2080,1380,1708,1520,1448,1916,1348,1132
4372,3256,3396,2424,2684,2364,2192,1836,1832,1728,1612,1808,1596,1640,1388,1224
6440,5060,4256,3436,3156,2524,2720,2352,2100,2584,2104,2036,2068,1564,1604,1368
11964,8084,6972,6280,5780,5508,4504,4108,4060,4044,3948,4256,3636,3440,3076,2452
2996,2072,2260,2136,1424,1364,1388,1160,1364,1132,908,1160,732,880,1080,768
6776,6680,4600,4796,3860,4068,3416,3744,3140,3328,3256,3264,3176,2312,2900,2816
8688,6172,6144,4920,3904,3660,3404,3524,3372,2464,2628,2348,2188,2088,2064,2032
2508,1820,1608,1040,1108,956,1412,472,628,676,496,552,492,744,368,236
4452,3592,2908,2248,2332,2040,1920,1740,1756,1372,1568,1268,1216,1320,1144,1132
2612,2364,2108,1916,1352,1532,1452,1404,1216,1224,1100,956,1028,1108,880,1068
3680,2792,2044,1724,1424,1432,1380,1256,1120,856,968,724,760,1044,520,512
1908,1864,1572,1936,1008,1048,1100,1296,1192,816,868,1112,748,1092,828,856
4064,3356,2864,2084,2168,1552,1644,1680,1668,1796,1712,1544,1360,1064,1408,1492
6656,6972,5424,3848,4728,4292,4064,3404,3288,3656,3220,2808,2972,2488,2876,2540
6524,5144,4868,4424,3224,3492,3256,3260,2960,2696,2732,2300,2824,2480,2224,2128
2808,3272,2120,1732,1748,1712,1444,1548,1216,1224,1188,1112,1148,1092,996,708
