2289,8341,1735,7793,1118,5040,6102,912,1790,1997,2918,12113,896,2467,7738,1602
3068,6173,1864,7900,1152,5089,5978,926,1748,1729,2780,12405,1093,2476,7514,1593
2888,8328,1268,8035,1152,5285,5847,879,1711,1991,2837,12273,1085,2629,7372,1584
2475,9099,1653,5947,935,5172,6080,766,1645,1940,2567,12531,967,2614,7454,1685
3158,8923,1875,7635,736,5217,5541,931,1593,1874,2559,12532,900,2553,7511,1718
2813,8236,1719,7681,1100,3977,6141,945,1724,1766,2908,12216,912,2660,7590,1700
2735,8662,1650,7603,1050,5336,4465,868,1861,1866,2615,12397,1004,3095,7238,1609
3176,8769,1860,8018,953,5327,5960,661,1624,1800,2466,12394,891,2480,7101,1838
2744,8419,1714,7678,1103,5429,5977,860,1360,1782,2787,12279,1023,2773,7507,1609
2542,8812,1664,8266,1048,5536,5953,880,1649,1338,2377,12530,954,2642,6955,1859
2925,8300,1943,7598,1162,5339,5950,946,1794,1747,2145,11993,1013,2479,7421,2058
2923,8896,1585,8226,1005,5301,5679,813,1755,1881,2618,9227,926,2690,7172,1674
2933,8802,1749,8022,1064,5380,5788,835,1688,1675,2580,12438,873,2485,7307,1699
3281,8692,1770,7845,1142,5189,5637,897,1613,1866,2742,12448,927,2073,7235,1577
2800,8691,1616,7948,1153,5444,5999,897,1663,1752,2585,12401,958,2353,5534,2030
2609,8307,1956,7837,1034,5657,5978,933,1724,1926,2762,12150,1031,2511,7441,1196
